   0    2
   0   12
   0   14
   1    3
   1   13
   1   15
   2   16
   2   18
   3   17
   3   19
   4    5
   4   20
   4   21
   5   22
   5   23
   6    7
   6   24
   6   25
   7   26
   7   27
   8    9
   8   28
   8   32
   9   29
   9   33
  10   11
  10   30
  10   34
  11   31
  11   35
  12   36
  12   44
  13   37
  13   45
  14   38
  14   46
  15   39
  15   47
  16   40
  16   48
  17   41
  17   49
  18   42
  18   50
  19   43
  19   51
  20   44
  20   52
  21   45
  21   53
  22   46
  22   54
  23   47
  23   55
  24   48
  24   56
  25   49
  25   57
  26   50
  26   58
  27   51
  27   59
  28   36
  28   52
  29   37
  29   53
  30   38
  30   54
  31   39
  31   55
  32   40
  32   56
  33   41
  33   57
  34   42
  34   58
  35   43
  35   59
  36   40
  37   41
  38   42
  39   43
  44   46
  45   47
  48   50
  49   51
  52   53
  54   55
  56   57
  58   59
